# 造序注音 builtin lexicon
# 由本專案人工建立與維護；等級為人工判斷的常用程度（5 最常用），不是語料統計。
# 欄位：詞<TAB>等級<TAB>讀音（選填，音節以空白分隔；多音字必填）
會議	4	ㄏㄨㄟˋ ㄧˋ
服務	4	ㄈㄨˊ ㄨˋ
疫情	3	ㄧˋ ㄑㄧㄥˊ
負責	4	ㄈㄨˋ ㄗㄜˊ
專案	3	ㄓㄨㄢ ㄢˋ
保護	4	ㄅㄠˇ ㄏㄨˋ
保戶	2	ㄅㄠˇ ㄏㄨˋ
環境	4	ㄏㄨㄢˊ ㄐㄧㄥˋ
報告	4	ㄅㄠˋ ㄍㄠˋ
期末	3	ㄑㄧˊ ㄇㄛˋ
重要	5	ㄓㄨㄥˋ ㄧㄠˋ
收到	4	ㄕㄡ ㄉㄠˋ
喜歡	5	ㄒㄧˇ ㄏㄨㄢ
舉手	3	ㄐㄩˇ ㄕㄡˇ
同學	4	ㄊㄨㄥˊ ㄒㄩㄝˊ
同事	4	ㄊㄨㄥˊ ㄕˋ
同室	1	ㄊㄨㄥˊ ㄕˋ
同時	4	ㄊㄨㄥˊ ㄕˊ
通知	4	ㄊㄨㄥ ㄓ
消息	4	ㄒㄧㄠ ㄒㄧˊ
盡快	3	ㄐㄧㄣˋ ㄎㄨㄞˋ
週末	3	ㄓㄡ ㄇㄛˋ
進行	4	ㄐㄧㄣˋ ㄒㄧㄥˊ
預報	3	ㄩˋ ㄅㄠˋ
氣象局	2	ㄑㄧˋ ㄒㄧㄤˋ ㄐㄩˊ
生氣	4	ㄕㄥ ㄑㄧˋ
空氣	4	ㄎㄨㄥ ㄑㄧˋ
期待	4	ㄑㄧˊ ㄉㄞˋ
事業	4	ㄕˋ ㄧㄝˋ
視野	3	ㄕˋ ㄧㄝˇ
帳戶	3	ㄓㄤˋ ㄏㄨˋ
結果	4	ㄐㄧㄝˊ ㄍㄨㄛˇ
感冒	3	ㄍㄢˇ ㄇㄠˋ
小心	4	ㄒㄧㄠˇ ㄒㄧㄣ
努力	4	ㄋㄨˇ ㄌㄧˋ
緊張	4	ㄐㄧㄣˇ ㄓㄤ
心情	4	ㄒㄧㄣ ㄑㄧㄥˊ
出國	3	ㄔㄨ ㄍㄨㄛˊ
期中	3	ㄑㄧˊ ㄓㄨㄥ
其中	4	ㄑㄧˊ ㄓㄨㄥ
權利	4	ㄑㄩㄢˊ ㄌㄧˋ
權力	4	ㄑㄩㄢˊ ㄌㄧˋ
精力	3	ㄐㄧㄥ ㄌㄧˋ
經歷	4	ㄐㄧㄥ ㄌㄧˋ
反應	4	ㄈㄢˇ ㄧㄥˋ
反映	3	ㄈㄢˇ ㄧㄥˋ
形式	3	ㄒㄧㄥˊ ㄕˋ
形勢	3	ㄒㄧㄥˊ ㄕˋ
行事	2	ㄒㄧㄥˊ ㄕˋ
發生	4	ㄈㄚ ㄕㄥ
發聲	2	ㄈㄚ ㄕㄥ
只是	4	ㄓˇ ㄕˋ
指示	3	ㄓˇ ㄕˋ
有利	3	ㄧㄡˇ ㄌㄧˋ
有力	3	ㄧㄡˇ ㄌㄧˋ
意義	4	ㄧˋ ㄧˋ
異議	2	ㄧˋ ㄧˋ
意譯	1	ㄧˋ ㄧˋ
事故	3	ㄕˋ ㄍㄨˋ
世故	2	ㄕˋ ㄍㄨˋ
近視	3	ㄐㄧㄣˋ ㄕˋ
進士	1	ㄐㄧㄣˋ ㄕˋ
期間	4	ㄑㄧˊ ㄐㄧㄢ
其間	2	ㄑㄧˊ ㄐㄧㄢ
時間	5	ㄕˊ ㄐㄧㄢ
現在	5	ㄒㄧㄢˋ ㄗㄞˋ
載貨	2	ㄗㄞˋ ㄏㄨㄛˋ
貨物	3	ㄏㄨㄛˋ ㄨˋ
老師	4	ㄌㄠˇ ㄕ
學生	4	ㄒㄩㄝˊ ㄕㄥ
朋友	4	ㄆㄥˊ ㄧㄡˇ
東西	4	ㄉㄨㄥ ㄒㄧ
時候	5	ㄕˊ ㄏㄡˋ
知道	5	ㄓ ㄉㄠˋ
覺得	5	ㄐㄩㄝˊ ㄉㄜ˙
可以	5	ㄎㄜˇ ㄧˇ
因為	5	ㄧㄣ ㄨㄟˋ
所以	5	ㄙㄨㄛˇ ㄧˇ
但是	5	ㄉㄢˋ ㄕˋ
如果	4	ㄖㄨˊ ㄍㄨㄛˇ
雖然	4	ㄙㄨㄟ ㄖㄢˊ
或是	4	ㄏㄨㄛˋ ㄕˋ
還是	4	ㄏㄞˊ ㄕˋ
一起	4	ㄧˋ ㄑㄧˇ
一定	4	ㄧˊ ㄉㄧㄥˋ
一樣	4	ㄧˊ ㄧㄤˋ
自己	5	ㄗˋ ㄐㄧˇ
大家	5	ㄉㄚˋ ㄐㄧㄚ
我們	5	ㄨㄛˇ ㄇㄣ˙
你們	4	ㄋㄧˇ ㄇㄣ˙
他們	5	ㄊㄚ ㄇㄣ˙
她們	3	ㄊㄚ ㄇㄣ˙
什麼	5	ㄕㄣˊ ㄇㄜ˙
